comments,condition,difficulty,id,images,imageset,length,worker,description,image,time
,time,2.0,3A0EX8ZRNCLGKQTL1XCQ4FU9U90BYQ,A,A,2.0,A38DC3BG1ZCVZ2,Three men in pink uniforms are standing on a court,https://imagecaptioningicl.azurewebsites.net/static/images/000000008305.jpg,15698
,time,2.0,3A0EX8ZRNCLGKQTL1XCQ4FU9U90BYQ,A,A,2.0,A38DC3BG1ZCVZ2,An old man is sitting on a bench smiling and feeding pigeons.,https://imagecaptioningicl.azurewebsites.net/static/images/000000002142.jpg,18934
,time,2.0,3A0EX8ZRNCLGKQTL1XCQ4FU9U90BYQ,A,A,2.0,A38DC3BG1ZCVZ2,Two people are on horseback with the horses' front legs in the air.,https://imagecaptioningicl.azurewebsites.net/static/images/000000000049.jpg,18982
,time,2.0,3A0EX8ZRNCLGKQTL1XCQ4FU9U90BYQ,A,A,2.0,A38DC3BG1ZCVZ2,a bride and the groom descend the steps with people on each side of them,https://imagecaptioningicl.azurewebsites.net/static/images/000000009372.jpg,30603
,time,2.0,3A0EX8ZRNCLGKQTL1XCQ4FU9U90BYQ,A,A,2.0,A38DC3BG1ZCVZ2,a modern clock tower that has a metal face is in front of a multi-level building,https://imagecaptioningicl.azurewebsites.net/static/images/000000003080.jpg,31697
,time,2.0,3A0EX8ZRNCLGKQTL1XCQ4FU9U90BYQ,A,A,2.0,A38DC3BG1ZCVZ2,A fridge door sits open exposing the insides that are full.,https://imagecaptioningicl.azurewebsites.net/static/images/000000010324.jpg,21441
,time,2.0,3R2PKQ87N05QDHIDO4GWW7BFGP6MIK,C,C,3.0,AM0JKZVOEOTMA,People are trying to pull the bull using the rope,https://imagecaptioningicl.azurewebsites.net/static/images/000000002415.jpg,68535
,time,2.0,3R2PKQ87N05QDHIDO4GWW7BFGP6MIK,C,C,3.0,AM0JKZVOEOTMA,People are standing in the top of the bus and rising their hands,https://imagecaptioningicl.azurewebsites.net/static/images/000000011494.jpg,41052
,time,2.0,3R2PKQ87N05QDHIDO4GWW7BFGP6MIK,C,C,3.0,AM0JKZVOEOTMA,A bike is parked in the side of the road,https://imagecaptioningicl.azurewebsites.net/static/images/000000005213.jpg,38392
,time,2.0,3R2PKQ87N05QDHIDO4GWW7BFGP6MIK,C,C,3.0,AM0JKZVOEOTMA,A clock is fixed on the pole and placed on the side of the road ,https://imagecaptioningicl.azurewebsites.net/static/images/000000009172.jpg,72756
